Company,Sector,2011 Response status,2010 Response status,Carbon disclosure score,Carbon performance band,Non-Public,Total Emissions1,Scope 1,Scope 2,Scope 3,Scope 3 source type,,,,
Hewlett-Packard ,Information Technology ,AQ ,AQ ,84,B ,,1865170,136660,1728510,5850300,PGS Tr TSP,,,,
High Tech Computer ,Information Technology ,AQ ,AQ ,27,-,NP,-,-,-,-,-,,,,
Hitachi ,Industrials ,AQ ,AQ ,88,C ,,4719794,932098,3787696,12223173,PGS Tr TSP ,,,,
Holcim ,Materials ,AQ ,AQ ,79,C ,,108334034,102218000,6116034,8177160,PGS Fu TI Wa Tr EC SE ,,,,
Home Depot ,Consumer Discretionary ,AQ ,AQ ,82,B ,,3073094,268091,2805003,3390000,TI,,,,
Hon Hai Precision Industry ,Information Technology ,AQ(SA) ,AQ(SA) ,-,-,,-,-,-,-,,,,,
Honda Motor Company ,Consumer Discretionary ,AQ ,AQ ,95,A ,,4365000,1418000,2947000,65796,TSP ,,,,
Honeywell International ,Industrials ,IN ,IN ,-,-,,-,-,-,-,,,,,
Hong Kong and China Gas ,Utilities ,DP ,NR ,-,-,,-,-,-,-,,,,,
Hong Kong Exchanges & Clearing ,Financials ,AQ ,AQ ,67,C ,NP ,-,-,-,-,-,,,,
Housing Development Finance ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
HSBC Holdings ,Financials ,AQ ,AQ ,95,A-,,831642,84025,747617,91814,Tr ,,,,
Husky Energy ,Energy ,AQ ,AQ ,41,-,,7547000,7547000,-,-,,,,,
Hutchison Whampoa ,Industrials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Hyundai Heavy Industries ,Industrials ,NR ,AQ ,-,-,,-,-,-,-,,,,,
Hyundai Mobis ,Consumer Discretionary ,AQ ,AQ ,64,D ,,332454,42351,290103,-,,,,,
Hyundai Motor ,Consumer Discretionary ,AQ ,AQ ,83,B ,,2227634,799295,1428339,36844,TSP ,,,,
Iberdrola ,Utilities ,AQ ,AQ ,78,C ,,46171669,39939109,6232560,23247787,Tr TSP Oth ,,,,
ICICI Bank ,Financials ,AQ ,AQ ,67,E ,,54806.22,2130.54,52675.68,7502.76,Wa Tr EC Oth,,,,
Illinois Tool Works ,Industrials ,AQ ,AQ ,75,C ,NP ,-,-,-,-,-,,,,
