Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Honduras,1973,0.18,0.34,0.53,0.21,
Hungary,1973,24.48,18.32,6.94,16.88,
Iceland,1973,0.06,0.35,0.38,0.88,
India,1973,50.69,72.57,46.61,38.39,
Indonesia,1973,8.56,5.82,9.16,8.44,
Iran,1973,13.92,15.81,10.25,15.87,
Iraq,1973,4.74,2.01,2.91,2.15,
Ireland,1973,6.42,4.94,3.36,6.18,
Israel,1973,7.38,3.52,3.4,1.89,
Italy,1973,91.48,105.47,54.66,79.45,
Jamaica,1973,2.17,3.71,1.63,0.5,
Japan,1973,349.57,315.43,117.73,124.84,
Jordan,1973,0.43,0.23,0.7,0.34,
Kazakhstan,1973,,,,,
Kenya,1973,0.52,0.65,1.64,0.7,
Kiribati,1973,,,,,
Korea (North),1973,9.4,47.76,1.98,11.97,
Korea (South),1973,14.03,19.02,7.46,26.75,
Kuwait,1973,7.06,3.12,2.18,3.88,
Kyrgyzstan,1973,,,,,
Laos,1973,,,,,
Latvia,1973,,,,,
Lebanon,1973,1.9,1.57,1.59,1.26,
Lesotho,1973,,,,,
Liberia,1973,,,,,
Libya,1973,2.94,0.84,1.62,0.38,
Lithuania,1973,,,,,
Luxembourg,1973,3.26,10.93,0.68,1.54,
"Macedonia, FYR",1973,1.955415689,1.834571361,0.986805746,0.28162877,
Madagascar,1973,,,,,
Malawi,1973,,,,,
Malaysia,1973,2.96,4.79,4.63,0.55,
Maldives,1973,,,,,
Mali,1973,,,,,
Malta,1973,0.42,0,0.24,0.12,
Mauritania,1973,,,,,
Mauritius,1973,,,,,
Mexico,1973,34.91,36.65,36.18,13.63,
Moldova,1973,,,,,
Mongolia,1973,,,,,
Montenegro,1973,,,,,
Morocco,1973,2.02,3.3,1.98,1.3,
Mozambique,1973,0.49,1.36,0.3,0.58,
Myanmar,1973,0.42,1.02,1.29,0.77,
Namibia,1973,,,,,
Nauru,1973,,,,,
Nepal,1973,0.03,0.18,0.07,0.11,
Netherlands,1973,46.7,38.88,19.01,48.09,
New Zealand,1973,3.53,5.28,5.66,2.67,
Nicaragua,1973,0.39,0.25,0.81,0.2,
Niger,1973,,,,,
Nigeria,1973,1.55,2.37,4.12,1.15,
Niue,1973,,,,,
Norway,1973,0.48,10.22,6.69,6.57,
Oman,1973,0.04,0.03,0.11,0.1,
Pakistan,1973,2.9,6.84,3.27,4.7,
Palau,1973,,,,,
Panama,1973,1.53,0.44,0.88,0.11,
Papua New Guinea,1973,,,,,
Paraguay,1973,0.08,0.09,0.48,0.04,
Peru,1973,2.77,4.67,6.17,2.79,
Philippines,1973,7.95,6.55,9.73,3.08,
Poland,1973,163.43,59.27,29.16,60.25,
Portugal,1973,3.4,5.38,4.75,2.74,
Qatar,1973,1.74,1.34,0.33,0.02,
Romania,1973,51.11,41.99,8.64,27.43,
Russian Federation,1973,,,,,
Rwanda,1973,,,,,
Saint Kitts & Nevis,1973,,,,,
Saint Lucia,1973,,,,,
Saint Vincent & Grenadines,1973,,,,,
Samoa,1973,,,,,
Sao Tome & Principe,1973,,,,,
Saudi Arabia,1973,8.93,3.63,4.31,0.71,
Senegal,1973,0.45,0.35,0.51,0.07,
Serbia,1973,12.82729615,10.1411589,3.470575797,2.889509001,
Seychelles,1973,,,,,
Sierra Leone,1973,,,,,
Singapore,1973,5.64,0.46,1.77,0.26,
